ID,Task ID,Title,Company,Location,Price/Salary,Link,Date Posted,Source
1,1,AI/ML Engineer (Recent Grad),Nightfall AI,"Palo Alto, CA",Not Disclosed,https://www.linkedin.com/jobs/view/ai-ml-engineer-recent-grad-at-nightfall-ai-4333294031?position=1&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=K2%2FbmZNj9axHqSr1hPCLmg%3D%3D,2025-10-31,LinkedIn Public
2,1,Machine Learning Engineer (L4/L5) - Emerging Game Technologies,Netflix,"Los Angeles, CA",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-l4-l5-emerging-game-technologies-at-netflix-4379896695?position=2&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=VTgmhskH9YhRtx3TQ%2FtMIg%3D%3D,2026-03-05,LinkedIn Public
3,1,"Software Engineer, AI Platform - New Grad",Nuro,"Mountain View, CA",Not Disclosed,https://www.linkedin.com/jobs/view/software-engineer-ai-platform-new-grad-at-nuro-4317707969?position=3&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=a9920za35O1oA2XSfMaF%2BQ%3D%3D,2026-02-28,LinkedIn Public
4,1,Machine Learning  Engineer,Colgate-Palmolive,"New York, NY",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-colgate-palmolive-4376942359?position=4&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=y0FVCRjZQN6Vi%2BJxWTC%2BsA%3D%3D,2026-02-26,LinkedIn Public
5,1,Python Developer - AI/ML applications,Mphasis,"New York, United States",Not Disclosed,https://www.linkedin.com/jobs/view/python-developer-ai-ml-applications-at-mphasis-4380208215?position=5&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=UNlc6jfeSxPvhEL4eTASAw%3D%3D,2026-03-05,LinkedIn Public
6,1,Machine Learning Engineer,ExxonMobil,"Spring, TX",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-exxonmobil-4378037146?position=6&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=o6vkoZcYDuRiygTVWfi0wQ%3D%3D,2026-02-25,LinkedIn Public
7,1,AI Machine Learning Engineer I (Intern) - United States,Cisco,"San Jose, CA",Not Disclosed,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-i-intern-united-states-at-cisco-4335954312?position=7&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=kEgbwdN%2BQtsB0zf75O6VNg%3D%3D,2026-03-01,LinkedIn Public
8,1,"Software Engineer, Artificial Intelligence",DataVisor,"Mountain View, CA",Not Disclosed,https://www.linkedin.com/jobs/view/software-engineer-artificial-intelligence-at-datavisor-4382245563?position=8&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=U5P0de7qJuik%2BNpqm4mzcg%3D%3D,2026-03-10,LinkedIn Public
9,1,"Machine Learning Research Engineer, Generative AI",Apple,"Cupertino, CA",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-research-engineer-generative-ai-at-apple-4359215310?position=9&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=hdiS1TqHG3Rv7F3oE4Imbw%3D%3D,2026-01-16,LinkedIn Public
10,1,Applied AI/ML Engineer,Replica,"San Francisco, CA",Not Disclosed,https://www.linkedin.com/jobs/view/applied-ai-ml-engineer-at-replica-4300142232?position=10&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=r2asV%2FOsdhba9eMWvDlLQA%3D%3D,2025-09-13,LinkedIn Public
11,1,Applied AI/ML SW Software Engineer,Apple,"Cupertino, CA",Not Disclosed,https://www.linkedin.com/jobs/view/applied-ai-ml-sw-software-engineer-at-apple-4365229212?position=11&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=ztoQ3jtSD5NTFySgXVkIXg%3D%3D,2026-01-22,LinkedIn Public
12,1,"Machine Learning Platform Engineer, AI Evaluation Platform (All levels)",Apple,"Seattle, WA",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-platform-engineer-ai-evaluation-platform-all-levels-at-apple-4359187971?position=12&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=7MJHPbzHfX7APkYukObqZQ%3D%3D,2026-01-16,LinkedIn Public
13,1,AI/ML Engineer,Involved Solutions,"Texas, United States",Not Disclosed,https://www.linkedin.com/jobs/view/ai-ml-engineer-at-involved-solutions-4383714497?position=13&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=%2B9W2O45FPs3JhEeaQziOIw%3D%3D,2026-03-10,LinkedIn Public
14,1,AI/ML developer,Saransh Inc,"Jersey City, NJ",Not Disclosed,https://www.linkedin.com/jobs/view/ai-ml-developer-at-saransh-inc-4332071682?position=14&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=bzQsfa7fT%2FKhyyjRkhsnUg%3D%3D,2025-10-27,LinkedIn Public
15,1,"Machine Learning Engineer, (Applied Machine Learning), AI & Data Platforms (AiDP)",Apple,"Sunnyvale, CA",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-applied-machine-learning-ai-data-platforms-aidp-at-apple-4385614149?position=15&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=rpIBobz%2BeoWba1zSLBWt0A%3D%3D,2026-03-16,LinkedIn Public
16,1,Machine Learning Engineer,Apple,"San Diego, CA",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-apple-4376950755?position=16&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=rz1bd2DSC%2BOrnuaV7wAyWg%3D%3D,2026-02-26,LinkedIn Public
17,1,Machine Learning Engineer,Spotify,"New York, NY",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-spotify-4380505566?position=17&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=h6AjQE6eiUdNx9Qc8NzQRQ%3D%3D,2026-03-03,LinkedIn Public
18,1,AI/Machine Learning Engineer Intern,Handshake,"San Francisco, CA",Not Disclosed,https://www.linkedin.com/jobs/view/ai-machine-learning-engineer-intern-at-handshake-4376135321?position=18&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=J6HExH5FwfOXTK6Qhxkjkw%3D%3D,2026-03-14,LinkedIn Public
19,1,"Machine Learning Engineer - LLM, AI & Robotics",XPENG,"Santa Clara, CA",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-llm-ai-robotics-at-xpeng-4383752864?position=19&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=ElKAVqF5w1Kcjl2QqBt%2B3A%3D%3D,2026-03-10,LinkedIn Public
20,1,Machine Learning Engineer,Superluminal Medicines Inc.,"Boston, MA",Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-superluminal-medicines-inc-4381787165?position=20&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=RMU6YsKBfYHzsnxP4V%2BRyA%3D%3D,2026-03-09,LinkedIn Public
21,1,AI/ML Computer Vision Algorithm Engineer,Apple,"Cupertino, CA",Not Disclosed,https://www.linkedin.com/jobs/view/ai-ml-computer-vision-algorithm-engineer-at-apple-4360015121?position=21&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=cq1ngZVogmgfYuMY8MrPlw%3D%3D,2026-01-16,LinkedIn Public
22,1,ML Engineer,Microsoft,"Redmond, WA",Not Disclosed,https://www.linkedin.com/jobs/view/ml-engineer-at-microsoft-4384167845?position=22&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=JONdkkkOycoh%2Bz4tpdehMw%3D%3D,2026-03-11,LinkedIn Public
23,1,"data scientist - Data & Data Science (Seattle, WA)",Starbucks,"Seattle, WA",Not Disclosed,https://www.linkedin.com/jobs/view/data-scientist-data-data-science-seattle-wa-at-starbucks-4384655600?position=23&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=SwwhFKeCUXiliwV6JVLJnQ%3D%3D,2026-03-14,LinkedIn Public
24,1,Machine Learning Engineer,Yahoo,United States,Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-yahoo-4380076144?position=24&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=7t0aLnOSws968%2FgQEyzsTQ%3D%3D,2026-03-05,LinkedIn Public
25,1,Machine Learning Engineer I (US),Payscale,United States,Not Disclosed,https://www.linkedin.com/jobs/view/machine-learning-engineer-i-us-at-payscale-4379279390?position=25&pageNum=0&refId=0p5otvgiAB1cHKbREJJ6ag%3D%3D&trackingId=zGE6i%2BqUKMYJ5qFOzathjQ%3D%3D,2026-02-28,LinkedIn Public
